Step,Link,Average Link Speed,Average Link Occupancy,Average Running Vehicles,Average Halting Vehicles,Average CO Emission,Average CO2 Emission,Average HC Emission,Average PMx Emission,Average NOx Emission,Average Fuel Consumption
1951 - 2000,gneE56-n,6.005244684809389,0.027828821303206994,1.4,1.04,158.93154189939642,3558.1065047827474,0.8071077401700474,0.07967535159190749,1.5632210865927052,1.5295412301937974
1951 - 2000,gneE57,12.90834031595371,0.02761500521102364,1.46,0.0,76.22332759571809,5457.557186505784,0.47532741816827995,0.09573005332662816,2.223473609467691,2.345965156632209
1951 - 2000,gneE58,6.7421038083659095,0.0706384762273823,3.64,0.36,100.88263304396747,6880.74575745822,0.618218216875927,0.1040417174047343,2.6662016205641885,2.95776430582989
1951 - 2000,gneE59,9.248876788007648,0.12908046800501538,6.88,2.02,313.2553782678684,14107.294969299037,1.7576336711606126,0.26282129915537344,5.830736417755036,6.064186803755738
1951 - 2000,gneE60,6.982343605253792,0.10199380624369123,5.32,1.84,226.268188015316,8040.651724222119,1.2164453251562923,0.14291523604928352,3.2865940445449597,3.4564193855842307
1951 - 2000,gneE61,5.647916931703764,0.1126334147581745,5.88,3.76,567.0076301303853,12187.557248560293,2.867709121580473,0.2748117773266401,5.387837711274882,5.239141247772917
1951 - 2000,gneE62,9.404319021550535,0.04543839636647311,2.38,0.44,79.25784451110314,4505.157854001038,0.46630639630020876,0.07948503343380695,1.8385374057517117,1.9365835902362436
1951 - 2000,gneE63,12.74759535107067,0.06443386389603896,25.76,0.0,509.5817090228647,55234.619239323394,3.5961551205074924,0.7994142761646974,21.040677450926296,23.743019785680584
1951 - 2000,gneE63-n,10.358639624295574,0.08042924910206828,31.9,0.42,1185.1128589226944,75971.16800841595,7.1665257982615005,1.2797035583712257,30.541420530814694,32.65687633708235
1951 - 2000,gneE64,13.095988149899354,0.05762554638695464,22.98,0.0,419.4719514729147,48965.6783041394,3.030178570476291,0.6966670562063435,18.485043544150393,21.04826605878998
1951 - 2000,gneE64-n,8.913309369732335,0.08774293592218294,34.76,1.08,1465.7973100170168,73734.02091433975,8.389809446374082,1.266222988587265,29.84886667726763,31.695447320275072
1951 - 2000,gneE65,12.514027259967552,0.06839798531305974,27.36,0.0,541.963925709722,58159.94121499863,3.8085640179168223,0.8350901816533252,22.145535880131,25.00050278693079
1951 - 2000,gneE65-n,7.15104632528566,0.10340463308028208,41.1,9.12,2428.657344781843,89535.67805591034,13.142336403276477,1.6616985080895845,37.1460593767354,38.488332720116006
1951 - 2000,gneE66,12.688726139248072,0.06139554910435712,24.6,0.0,513.4116257625589,53548.58709050594,3.565666382214613,0.7865946151494982,20.466291693871913,23.018263670957143
1951 - 2000,gneE66-n,9.749649746998212,0.08405735086632429,33.32,1.3,1343.5725999655424,75702.94631434276,7.873579781216221,1.2785447896337223,30.47220622598788,32.541710462519994
2001 - 2050,gneE32,3.647149380957421,0.17531588257045563,13.24,0.32,893.3412192517698,24368.743084840597,4.635141406603658,0.4934045000487344,10.503109998950425,10.475414041213462
2001 - 2050,gneE33,11.660395733679367,0.09086422967083653,5.08,0.0,158.27798424146087,12721.566799792221,1.0178751896888325,0.2093910989910325,5.0778831215976785,5.46845131728087
2001 - 2050,gneE34,7.5329027436850335,0.11674293305134179,8.94,3.42,566.7482544407172,19763.11843363859,3.0419721949897642,0.38522806831911494,8.277819999601464,8.495492175429542
2001 - 2050,gneE35,5.92461311928227,0.10836339660427735,8.26,1.08,424.6509776311635,14729.462673519947,2.2774169548839382,0.28595483703611335,6.243141352880221,6.331690354099895
2001 - 2050,gneE36,11.56265758296248,0.11505890415938987,6.36,0.0,204.37115909725094,15669.662491675152,1.2973737046601308,0.26323403755096947,6.296388784058439,6.7357093223974855
2001 - 2050,gneE37,7.478561630280584,0.07770223487751958,5.94,1.98,417.90753908129767,14811.614450874187,2.248882449444065,0.2867861976810369,6.186267460700517,6.367006769212545
2001 - 2050,gneE38,5.877311901942343,0.10910090638863869,8.26,0.2,481.12392759406595,15082.777753245824,2.542498258102419,0.2952572887551165,6.4137302148156365,6.483603859585462
